"Species","Body_size_g","Generation_time_years","Longevity_years","Chromosome_number","Heterozygosity","Group_size_mean","Body_size_ratio"
"AfricanBuf",13.3413387820518,1.6094379124341,3.42263266238222,53,-1.34707364796661,NA,0.318589842418899
"Argali",11.8872420559094,2.07944154167984,2.73696154459663,58,-1.96611285637283,2.63905732961526,0.647003826950674
"BarbaryShe",11.3395292386485,1.6094379124341,3.05776766447344,58,NA,1.70474809223843,0.773189888233482
"MuntiacusC",10.0007140767971,1.09861228866811,2.4832385926873,8,-1.6094379124341,0,-0.0423792229688614
"BlueSheep",10.845325751021,1.6094379124341,3.12456514539696,54,NA,3.2188758248682,0.418043890315025
"BlueWildeb",12.1336082911272,2.01490302054226,3.14415227867226,58,-1.71479842809193,3.2188758248682,0.241046157340238
"BohorReedb",10.6790615964105,1.43508452528932,2.89037175789616,56,-1.71479842809193,0.336472236621213,0.24717020353488
"Bongo",12.5752193872656,1.6094379124341,3.01602497682175,33,-2.81341071676004,2.12823170584927,0.22314355131421
"Bushbuck",10.7495755384632,1.62924053973028,2.64900766046843,33,-1.27296567581289,0,0.468797113917395
"MuntiacusR",9.57498209667424,1.09861228866811,3.14328983791161,46,-1.96611285637283,0,0.117783035656383
"CommonDuik",9.77154290037286,1.6094379124341,2.69934576047206,60,-1.66073120682165,0.693147180559945,-0.0686285063890963
"CommonElan",12.9893043760426,1.6094379124341,3.23159459727598,63,-1.83258146374831,3.2188758248682,0.442605490127552
"DefassaWat",12.0886581044713,1.96009478404727,3.17387845893747,53,-1.46967597005894,1.28093384546206,0.234504293559808
"ForestMusk",9.34951257527204,1.6094379124341,NA,58,-1.51412773262978,0,NA
"Gemsbok",11.9195975111022,1.6094379124341,3.07685132483878,56,-2.20727491318972,2.86220088092947,0.0673890219049768
"Gerenuk",10.5973214972196,1.52605630349505,2.68920711330073,60,-2.52572864430826,1.09861228866811,0.0202027073175195
"Giraffe",13.6921330511461,2.30258509299405,3.63495111208838,30,-2.20727491318972,3.23867845216438,0.379547790737666
"GyrantGaze",10.980863947272,1.6094379124341,2.82612948916781,30,-1.96611285637283,2.86220088092947,0.449412647801808
"GreaterKud",12.2530648133201,1.82454929205105,3.14630513203337,31,-2.04022082852655,1.70474809223843,0.4432674727547
"HarveysDui",9.3796526741765,1.52605630349505,2.7173402480093,60,-1.77195684193188,0,0.0794067776044104
"Ibex",11.2476917977012,1.6094379124341,3.07269331469012,60,NA,2.9704144655697,0.498479787943691
"Impala",10.8681561731297,1.7404661748405,2.9912221180761,59,-2.20727491318972,3.15273602236366,0.261661523749885
"MuntiacusM",9.79310332804657,1.09861228866811,2.89480635496403,6,-2.40794560865187,0,0.325054415149887
"KirksDik",8.48421948502103,1.28093384546206,2.83085763036376,47,-1.56064774826467,0.693147180559945,-0.103184236235231
"Klipspring",9.47095618571725,1.6094379124341,3.04737550670583,60,-1.34707364796661,0.405465108108164,-0.140146631743242
"LesserKudu",11.3718131812945,1.6094379124341,2.96320908184843,38,-2.52572864430826,1.25276296849537,0.431426831117923
"LesserMous",7.98104975966596,1.09861228866811,2.73111547403321,32,-0.616186139423817,0,NA
"MaxwellsDu",9.0418672809996,1.6094379124341,2.71004820376488,60,-1.30933331998376,0.693147180559945,-0.102278849120418
"Daviddeer",12.0227245820585,1.6094379124341,3.21807550469743,68,-2.81341071676004,NA,NA
"MountainNy",12.2801382024987,1.6094379124341,2.62756295018952,55,-2.30258509299405,2.15176220325946,0.330541581909562
"Okapi",12.3414802519643,2.07944154167984,3.50405476710186,45,-2.99573227355399,0,0
"Oribi",9.74942920177974,1.6094379124341,2.7638002162067,NA,NA,0.693147180559945,-0.0685199464367561
"Pronghorn",10.7020723207838,1.6094379124341,2.62103882411258,58,-2.12026353620009,2.52572864430826,0.276400727987741
"GazellaPrz",10.2021915349604,1.09861228866811,1.72097928716701,60,-1.96611285637283,1.25276296849537,NA
"Reindeer",11.4971728413263,1.6094379124341,3.04356960296815,70,-2.04022082852655,NA,0.524714735926658
"RoyalAntel",8.20213718149996,1.6094379124341,2.59525470695687,36,-1.71479842809193,0,-0.0953101798043249
"Sitatunga",11.2986263114084,1.52605630349505,3.08831145484708,30,-2.81341071676004,0,0.530237320642805
"Springbuck",10.4390594459895,1.6094379124341,2.99071973173045,56,-0.82098055206983,NA,0.136695395967179
"Steenbok",9.33100635904282,1.6094379124341,2.49485698064117,30,-1.13943428318836,0.693147180559945,-0.0360399364831969
"Suni",8.60296713643596,1.38629436111989,2.62466859216316,54,-1.71479842809193,0,-0.0606246218164349
"ThomsonGaz",10.0363115700298,1.6094379124341,2.83556352140117,58,-1.89711998488588,2.86220088092947,0.243166467189317
"Topi",11.7472077891754,1.6094379124341,3.06105173967463,36,-1.34707364796661,2.99573227355399,0.131656196742187
"WhiteLippe",11.874343801215,1.6094379124341,2.98264703400534,66,-1.20397280432594,3.02042488614436,0.490786168428264
"goat",10.851189544549,0.615185639090233,3.16968558067743,60,NA,NA,NA
"Cattle",13.3322378586976,1.06125650212434,2.97195174488859,60,NA,NA,NA
"Sheep",11.0202556884656,1.87180217690159,2.88480071284671,54,NA,NA,NA
"RoeDeer",10.0352576449817,0.963174317773006,3.02674632708316,NA,NA,1.70474809223843,0.0336166107989851
"Yak",13.1765358499776,1.31103187661934,2.99573227355399,NA,NA,3.53514535417189,0.657384533685036
